index_code,con_code,trade_date,weight
000016.SH,600050.SH,20250930,0.934
000016.SH,600760.SH,20250930,0.86
000016.SH,601225.SH,20250930,0.843
000016.SH,600028.SH,20250930,0.838
000016.SH,601988.SH,20250930,0.806
000016.SH,688111.SH,20250930,0.796
000016.SH,601985.SH,20250930,0.779
000016.SH,601888.SH,20250930,0.759
000016.SH,601628.SH,20250930,0.718
000016.SH,601600.SH,20250930,0.71
000016.SH,601658.SH,20250930,0.689
000016.SH,600048.SH,20250930,0.613
000016.SH,600519.SH,20250829,10.244
000016.SH,601318.SH,20250829,7.102
000016.SH,600036.SH,20250829,5.85
000016.SH,601899.SH,20250829,4.189
000016.SH,601166.SH,20250829,4.104
000016.SH,600900.SH,20250829,3.787
000016.SH,688256.SH,20250829,3.433
000016.SH,600030.SH,20250829,3.386
000016.SH,600276.SH,20250829,3.259
000016.SH,601398.SH,20250829,2.87
000016.SH,603259.SH,20250829,2.847
000016.SH,601211.SH,20250829,2.611
000016.SH,688981.SH,20250829,2.515
000016.SH,601288.SH,20250829,2.47
000016.SH,601328.SH,20250829,2.137
000016.SH,688041.SH,20250829,1.993
000016.SH,600887.SH,20250829,1.991
000016.SH,601816.SH,20250829,1.727
000016.SH,688008.SH,20250829,1.55
000016.SH,601601.SH,20250829,1.52
000016.SH,600309.SH,20250829,1.424
000016.SH,600031.SH,20250829,1.375
000016.SH,601088.SH,20250829,1.362
000016.SH,603501.SH,20250829,1.345
000016.SH,601728.SH,20250829,1.302
000016.SH,601668.SH,20250829,1.273
000016.SH,601127.SH,20250829,1.232
000016.SH,601012.SH,20250829,1.147
000016.SH,601857.SH,20250829,1.089
000016.SH,600941.SH,20250829,1.089
000016.SH,600690.SH,20250829,1.086
000016.SH,600809.SH,20250829,1.086
000016.SH,601919.SH,20250829,1.062
000016.SH,688012.SH,20250829,1.033
000016.SH,601766.SH,20250829,1.028
000016.SH,600050.SH,20250829,0.982
000016.SH,600406.SH,20250829,0.963
000016.SH,603993.SH,20250829,0.957
000016.SH,600150.SH,20250829,0.921
000016.SH,600028.SH,20250829,0.918
000016.SH,601988.SH,20250829,0.871
000016.SH,601225.SH,20250829,0.871
000016.SH,688111.SH,20250829,0.854
000016.SH,601985.SH,20250829,0.808
000016.SH,601628.SH,20250829,0.773
000016.SH,600760.SH,20250829,0.771
000016.SH,601888.SH,20250829,0.745
000016.SH,601658.SH,20250829,0.734
000016.SH,601600.SH,20250829,0.684
000016.SH,600048.SH,20250829,0.63
000016.SH,600519.SH,20250731,10.551
000016.SH,601318.SH,20250731,7.464
000016.SH,600036.SH,20250731,6.505
000016.SH,601166.SH,20250731,4.446
000016.SH,600900.SH,20250731,4.024
000016.SH,601899.SH,20250731,3.727
000016.SH,600030.SH,20250731,3.347
000016.SH,600276.SH,20250731,3.319
000016.SH,601398.SH,20250731,3.131
000016.SH,603259.SH,20250731,2.845
000016.SH,601211.SH,20250731,2.71
000016.SH,601328.SH,20250731,2.411
000016.SH,601288.SH,20250731,2.376
000016.SH,688981.SH,20250731,2.103
000016.SH,600887.SH,20250731,2.049
000016.SH,601816.SH,20250731,1.873
000016.SH,688256.SH,20250731,1.75
000016.SH,688041.SH,20250731,1.529
000016.SH,601601.SH,20250731,1.515
000016.SH,601088.SH,20250731,1.487
000016.SH,600031.SH,20250731,1.398
000016.SH,600309.SH,20250731,1.387
000016.SH,601668.SH,20250731,1.382
000016.SH,601728.SH,20250731,1.374
000016.SH,601127.SH,20250731,1.225
000016.SH,603501.SH,20250731,1.221
000016.SH,601857.SH,20250731,1.188
000016.SH,601919.SH,20250731,1.165
000016.SH,600941.SH,20250731,1.158
000016.SH,688008.SH,20250731,1.15
000016.SH,601012.SH,20250731,1.129
000016.SH,600690.SH,20250731,1.101
000016.SH,601766.SH,20250731,1.062
000016.SH,600406.SH,20250731,1.038
000016.SH,600028.SH,20250731,1.036
000016.SH,600809.SH,20250731,1.032
000016.SH,688012.SH,20250731,1.022
000016.SH,600050.SH,20250731,0.99
000016.SH,601988.SH,20250731,0.939
000016.SH,601225.SH,20250731,0.923
000016.SH,600150.SH,20250731,0.907
000016.SH,601985.SH,20250731,0.893
000016.SH,688111.SH,20250731,0.858
000016.SH,600760.SH,20250731,0.843
000016.SH,601628.SH,20250731,0.805
000016.SH,601888.SH,20250731,0.749
000016.SH,601658.SH,20250731,0.748
000016.SH,603993.SH,20250731,0.742
000016.SH,601600.SH,20250731,0.696
000016.SH,600048.SH,20250731,0.677
000016.SH,600519.SH,20250630,10.708
000016.SH,601318.SH,20250630,7.222
000016.SH,600036.SH,20250630,6.879
000016.SH,601166.SH,20250630,4.692
000016.SH,600900.SH,20250630,4.46
000016.SH,601899.SH,20250630,3.885
000016.SH,600030.SH,20250630,3.261
000016.SH,601398.SH,20250630,3.218
000016.SH,600276.SH,20250630,2.803
000016.SH,601211.SH,20250630,2.618
000016.SH,601328.SH,20250630,2.581
000016.SH,601288.SH,20250630,2.27
000016.SH,600887.SH,20250630,2.133
000016.SH,688981.SH,20250630,2.12
000016.SH,603259.SH,20250630,2.104
000016.SH,601816.SH,20250630,2.042
000016.SH,601088.SH,20250630,1.617
000016.SH,688041.SH,20250630,1.589
000016.SH,601601.SH,20250630,1.553
000016.SH,688256.SH,20250630,1.518
000016.SH,601728.SH,20250630,1.455
000016.SH,601668.SH,20250630,1.442
000016.SH,601127.SH,20250630,1.327
000016.SH,603501.SH,20250630,1.315
000016.SH,600031.SH,20250630,1.288
