ts_code,trade_date,company_name,name,industry_id,industry_name,ret_20d,rs_market_20d,momentum_rank_in_industry,liquidity_rank_in_industry,pe_ttm,pb,total_mv,peer_score
601088.SH,20250214,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0363912054586808,-0.06790019312102857,1.0,1.0,13.1756,1.8256,75758666.5884,0.7005295718881465
601088.SH,20250217,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.048494129657988716,-0.08920316674917561,1.0,1.0,12.8819,1.7849,74069842.3922,0.6805741153179906
601088.SH,20250218,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.05862689637438934,-0.09691073680374063,1.0,1.0,12.6504,1.7528,72738651.5553,0.6754466716159366
601088.SH,20250219,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.08189216683621559,-0.10682530153480108,1.0,1.0,12.4742,1.7284,71725357.0376,0.67039717891611
601088.SH,20250220,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07651109410864576,-0.09837632311265176,1.0,1.0,12.5122,1.7337,71943910.7571,0.6746151942588469
601088.SH,20250221,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.10881612090680104,-0.14839602069199298,1.0,1.0,12.2254,1.6939,70294823.6008,0.6573100717644148
601088.SH,20250224,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0971976773542036,-0.1326793812426934,1.0,1.0,12.3567,1.7121,71049827.3591,0.660887156644395
601088.SH,20250225,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0802787816210635,-0.10119904695973658,1.0,1.0,12.3118,1.7059,70791536.5997,0.6731341252165306
601088.SH,20250226,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06987699555090299,-0.10150984445206868,1.0,1.0,12.2807,1.7016,70612719.9201,0.6729695619896066
601088.SH,20250227,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06169598319768965,-0.1117569802331847,1.0,1.0,12.3498,1.7112,71010090.3192,0.6682491957436278
601088.SH,20250228,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07706326477479797,-0.10490418172184679,1.0,1.0,12.2496,1.6973,70433903.2405,0.6712286562731997
601088.SH,20250303,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.09058341862845454,-0.10974811819760599,1.0,1.0,12.2807,1.7016,70612719.9201,0.6689940608760208
601088.SH,20250304,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.11624999999999996,-0.1307895764661149,1.0,1.0,12.215,1.6925,70235218.0409,0.6615021034397427
601088.SH,20250305,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07959814528593512,-0.11063097237697894,1.0,1.0,12.3463,1.7107,70990221.7992,0.6686649344221728
601088.SH,20250306,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.088831835686778,-0.12895056493366164,1.0,1.0,12.2634,1.6992,70513377.3203,0.6620824053452116
601088.SH,20250307,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07714065312419638,-0.10548604535163897,1.0,1.0,12.4016,1.7183,71308118.1185,0.6709255134867608
601088.SH,20250310,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06452448820938073,-0.0827484728530361,1.0,1.0,12.4742,1.7284,71725357.0376,0.6858747834694383
601088.SH,20250311,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.05499351491569382,-0.08096629301822122,1.0,1.0,12.5882,1.7442,72381018.1961,0.6874338035139818
601088.SH,20250312,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.05991627420198842,-0.07088911414287125,1.0,1.0,12.4154,1.7202,71387592.1983,0.6972816134620143
