ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20231108,2436.6983,2436.8736,2448.8691,2426.1953,2443.9657,-7.2674,-0.2974,25416171.0,45724471.95
000016.SH,20231107,2443.9657,2450.2667,2450.3829,2436.3751,2456.7745,-12.8088,-0.5214,25409512.0,43645744.045
000016.SH,20231106,2456.7745,2452.8399,2460.7626,2443.391,2436.9411,19.8334,0.8139,39448493.0,63490178.327
000016.SH,20231103,2436.9411,2419.6868,2443.3006,2418.9187,2417.459,19.4821,0.8059,24430249.0,42330072.254
000016.SH,20231102,2417.459,2429.7186,2440.336,2416.6627,2420.7346,-3.2756,-0.1353,25313330.0,40772219.416
000016.SH,20231101,2420.7346,2456.3813,2456.3813,2416.6765,2411.4794,9.2552,0.3838,25950506.0,57125465.298
000016.SH,20231031,2411.4794,2409.8949,2416.5736,2400.2607,2414.1562,-2.6768,-0.1109,31393681.0,53329675.794
000016.SH,20231030,2414.1562,2406.9459,2420.9821,2403.2672,2414.9125,-0.7563,-0.0313,39706697.0,62284481.834
000016.SH,20231027,2414.9125,2383.989,2426.8005,2380.3353,2393.7344,21.1781,0.8847,31647536.0,56934794.165
000016.SH,20231026,2393.7344,2375.0391,2394.986,2372.5398,2386.3026,7.4318,0.3114,28462666.0,41362772.536
000016.SH,20231025,2386.3026,2402.7489,2408.8921,2383.1006,2378.4389,7.8637,0.3306,39991649.0,52062704.974
000016.SH,20231024,2378.4389,2374.8732,2382.7283,2355.5884,2369.9347,8.5042,0.3588,31452286.0,43320643.064
000016.SH,20231023,2369.9347,2380.3025,2390.8031,2351.4457,2389.2196,-19.2849,-0.8072,26469956.0,38190471.529
000016.SH,20231020,2389.2196,2394.6194,2402.7855,2379.7419,2401.9299,-12.7103,-0.5292,27929409.0,44439808.493
000016.SH,20231019,2401.9299,2450.1695,2450.1837,2400.1921,2467.1915,-65.2616,-2.6452,31149685.0,53932887.048
000016.SH,20231018,2467.1915,2471.5883,2478.681,2463.6584,2478.9047,-11.7132,-0.4725,24591894.0,35566080.452
000016.SH,20231017,2478.9047,2474.1244,2480.9358,2462.3699,2468.4363,10.4684,0.4241,23488548.0,35668258.928
000016.SH,20231016,2468.4363,2490.916,2491.6218,2461.3782,2489.1251,-20.6888,-0.8312,25080812.0,40453213.979
000016.SH,20231013,2489.1251,2495.147,2499.0652,2482.8858,2514.3904,-25.2653,-1.0048,25792374.0,39705090.266
000016.SH,20231012,2514.3904,2518.8323,2524.201,2504.3659,2490.855,23.5354,0.9449,33661372.0,46137733.403
000016.SH,20231011,2490.855,2497.5609,2502.6334,2486.3721,2482.5345,8.3205,0.3352,26372287.0,43693282.38
000016.SH,20231010,2482.5345,2510.5059,2513.8542,2481.3944,2499.5666,-17.0321,-0.6814,28702040.0,40996551.73
000016.SH,20231009,2499.5666,2497.4745,2504.0202,2474.8139,2507.0857,-7.5191,-0.2999,27608360.0,45052515.778
000016.SH,20230928,2507.0857,2530.2283,2531.0671,2504.2105,2520.1395,-13.0538,-0.518,24916691.0,41444247.962
000016.SH,20230927,2520.1395,2515.8197,2538.6839,2514.2311,2513.4072,6.7323,0.2679,27540832.0,46635013.457
000016.SH,20230926,2513.4072,2526.3517,2534.2034,2512.0273,2529.1496,-15.7424,-0.6224,23341964.0,33802411.628
